Target_name,Group,Order,Family,Species
QUTB,Basal Eudicots,Berberidopsidales,Aextoxicaceae,Aextoxicon punctatum
HAEU,Basal Eudicots,Berberidopsidales,Berberidopsidaceae,Berberidopsis beckleri
IWMW,Basal Eudicots,Buxales,Buxaceae,Buxus sempervirens
EHNF,Basal Eudicots,Dilleniales,Dilleniaceae,Dillenia indica
OKEF,Basal Eudicots,Dilleniales,Dilleniaceae,Hibbertia grossulariifolia
XMQO,Basal Eudicots,Gunnerales,Gunneraceae,Gunnera manicata
FAKD,Basal Eudicots,Proteales,Nelumbonaceae,Nelumbo sp.
VQFW,Basal Eudicots,Proteales,Platanaceae,Platanus occidentalis
GRRW,Basal Eudicots,Proteales,Proteaceae,Grevillea robusta
RQUG,Basal Eudicots,Proteales,Proteaceae,Hakea prostrata
AALA,Basal Eudicots,Proteales,Sabiaceae,Meliosma cuneifolia
YHFG,Basal Eudicots,Ranunculales,Berberidaceae,Nandina domestica
WFBF,Basal Eudicots,Ranunculales,Berberidaceae,Podophyllum peltatum
QTJY,Basal Eudicots,Ranunculales,Eupteleaceae,Euptelea pleiosperma
NMGG,Basal Eudicots,Ranunculales,Fumariaceae,Hypecoum procumbens
CCID,Basal Eudicots,Ranunculales,Lardizabalaceae,Akebia trifoliata
LVNW,Basal Eudicots,Ranunculales,Menispermaceae,Cocculus laurifolius
IRAF,Basal Eudicots,Ranunculales,Papaveraceae,Argemone mexicana
AUGV,Basal Eudicots,Ranunculales,Papaveraceae,Capnoides sempervirens
UDHA,Basal Eudicots,Ranunculales,Papaveraceae,Ceratocapnos vesicaria
XMVD,Basal Eudicots,Ranunculales,Papaveraceae,Chelidonium majus
ZGQD,Basal Eudicots,Ranunculales,Papaveraceae,Corydalis linstowiana
EVOD,Basal Eudicots,Ranunculales,Papaveraceae,Eschscholzia californica
BEKN,Basal Eudicots,Ranunculales,Papaveraceae,Papaver rhoeas
XHKT,Basal Eudicots,Ranunculales,Papaveraceae,Sanguinaria canadensis
ZUHO,Basal Eudicots,Ranunculales,Ranunculaceae,Anemone hupehensis
CYVA,Basal Eudicots,Ranunculales,Ranunculaceae,Cimicifuga racemosa
VGHH,Basal Eudicots,Ranunculales,Ranunculaceae,Hydrastis canadensis
GBVZ,Basal Eudicots,Ranunculales,Ranunculaceae,Thalictrum thalictroides
SWOH,Basal Eudicots,Trochodendrales,Trochodendraceae,Trochodendron aralioides
URDJ,Basalmost angiosperms,Amborellales,Amborellaceae,Amborella trichopoda
FZJL,Basalmost angiosperms,Austrobaileyales,Austrobaileyaceae,Austrobaileya scandens
VZCI,Basalmost angiosperms,Austrobaileyales,Schisandraceae,Illicium floridanum
ROAP,Basalmost angiosperms,Austrobaileyales,Schisandraceae,Illicium parviflorum
NWMY,Basalmost angiosperms,Austrobaileyales,Schisandraceae,Kadsura heteroclita
NPND,Basalmost angiosperms,Ceratophyllales,Ceratophyllaceae,Ceratophyllum demersum
WTKZ,Basalmost angiosperms,Nymphaeales,Nymphaeaceae,Nuphar advena
PZRT,Basalmost angiosperms,Nymphaeales,Nymphaeaceae,Nymphaea sp.
WZFE,Chloranthales,Chloranthales,Chloranthaceae,Ascarina rubricaulis
OSHQ,Chloranthales,Chloranthales,Chloranthaceae,Sarcandra glabra
GJNX,Core Eudicots,Caryophyllales,Aizoaceae,Cypselea humifusa
BJKT,Core Eudicots,Caryophyllales,Aizoaceae,Delosperma echinatum
EDIT,Core Eudicots,Caryophyllales,Aizoaceae,Sesuvium verrucosum
OMYK,Core Eudicots,Caryophyllales,Aizoaceae,Trianthema portulacastrum
BERS,Core Eudicots,Caryophyllales,Aizoaceae,Zaleya pentandra
